Date,GLD,SPY,TLT
2006-05-12,71.12000274658203,90.35152435302734,45.90520095825195
2006-05-15,67.41000366210938,90.53329467773438,46.088478088378906
2006-05-16,68.61000061035156,90.40042114257812,46.43283462524414
2006-05-17,68.1500015258789,88.68067169189453,46.14403533935547
2006-05-18,67.45999908447266,88.23323822021484,46.77164077758789
2006-05-19,65.58000183105469,88.85543060302734,46.89386749267578
2006-05-22,65.30000305175781,88.17730712890625,46.99383544921875
2006-05-23,66.37999725341797,87.50621795654297,46.96604537963867
2006-05-24,64.05999755859375,88.2052993774414,46.988277435302734
2006-05-25,64.69999694824219,89.29588317871094,46.805015563964844
2006-05-26,65.0999984741211,89.75030517578125,46.77164077758789
2006-05-30,65.11000061035156,88.15634155273438,46.74943161010742
2006-05-31,64.2300033569336,89.14207458496094,46.47174835205078
2006-06-01,62.560001373291016,89.99496459960938,46.67917251586914
2006-06-02,63.5,90.1837158203125,47.28141784667969
2006-06-05,63.290000915527344,88.86943054199219,47.220054626464844
2006-06-06,62.54999923706055,88.65269470214844,47.44313049316406
2006-06-07,62.279998779296875,87.98858642578125,47.454261779785156
2006-06-08,60.90999984741211,87.91167449951172,47.5490837097168
2006-06-09,60.45000076293945,87.63201141357422,47.80001449584961
2006-06-12,60.029998779296875,86.68124389648438,47.83905792236328
2006-06-13,55.91999816894531,85.674560546875,47.872459411621094
2006-06-14,55.619998931884766,86.33869934082031,47.39291763305664
2006-06-15,57.31999969482422,88.17034149169922,47.11968231201172
2006-06-16,57.68000030517578,87.52782440185547,47.013771057128906
2006-06-19,56.36000061035156,86.83970642089844,46.94688034057617
2006-06-20,57.29999923706055,87.13461303710938,46.86874771118164
2006-06-21,58.33000183105469,87.78060150146484,46.87992477416992
2006-06-22,57.72999954223633,87.39439392089844,46.612274169921875
2006-06-23,57.9900016784668,87.38040161132812,46.517478942871094
2006-06-26,58.279998779296875,87.76658630371094,46.42823791503906
2006-06-27,57.68000030517578,87.00820922851562,46.65686798095703
2006-06-28,57.540000915527344,87.59805297851562,46.4114990234375
2006-06-29,59.52000045776367,89.36756896972656,46.56768798828125
2006-06-30,61.22999954223633,89.37456512451172,47.019344329833984
2006-07-03,62.18000030517578,89.7397232055664,46.97285461425781
2006-07-05,62.5,89.22712707519531,46.597782135009766
2006-07-06,63.02000045776367,89.4869155883789,46.88330078125
2006-07-07,62.630001068115234,88.90412139892578,47.185543060302734
2006-07-10,62.02000045776367,89.07266235351562,47.230369567871094
2006-07-11,63.810001373291016,89.46587371826172,47.38151550292969
2006-07-12,64.91999816894531,88.51087188720703,47.39272689819336
2006-07-13,65.55000305175781,87.0713882446289,47.57742691040039
2006-07-14,65.8499984741211,86.73433685302734,47.60542678833008
2006-07-17,63.95000076293945,86.60795593261719,47.678218841552734
2006-07-18,62.900001525878906,87.05034637451172,47.269535064697266
2006-07-19,64.02999877929688,88.25808715820312,47.71739959716797
2006-07-20,62.540000915527344,87.65422058105469,47.85736846923828
2006-07-21,61.709999084472656,87.03627014160156,47.76776123046875
2006-07-24,61.13999938964844,88.62322998046875,47.73982620239258
2006-07-25,61.54999923706055,88.93923950195312,47.59983825683594
2006-07-26,62.0,89.05858612060547,47.773380279541016
2006-07-27,62.900001525878906,88.9743423461914,47.700599670410156
2006-07-28,63.11000061035156,89.86610412597656,47.974910736083984
2006-07-31,63.15999984741211,89.77481079101562,48.03648376464844
2006-08-01,64.31999969482422,89.33245849609375,48.0319709777832
2006-08-02,64.75,89.93631744384766,48.211849212646484
2006-08-03,64.12000274658203,90.175048828125,48.223106384277344
2006-08-04,64.27999877929688,90.02058410644531,48.51534652709961
2006-08-07,64.5,89.8099136352539,48.54341506958008
2006-08-08,63.970001220703125,89.46587371826172,48.436676025390625
2006-08-09,64.62999725341797,89.16395568847656,48.2793083190918
2006-08-10,63.25,89.43778991699219,48.206207275390625
2006-08-11,62.709999084472656,89.18499755859375,47.998287200927734
2006-08-14,62.25,89.25521087646484,47.91396713256836
2006-08-15,62.0099983215332,90.3225326538086,48.31864929199219
2006-08-16,62.4900016784668,91.07388305664062,48.64462661743164
2006-08-17,61.029998779296875,91.30560302734375,48.62775802612305
2006-08-18,61.040000915527344,91.76905059814453,48.768280029296875
2006-08-21,62.439998626708984,91.37580871582031,48.94248962402344
2006-08-22,62.04999923706055,91.36878967285156,48.959354400634766
2006-08-23,61.83000183105469,91.1159896850586,48.98183822631836
2006-08-24,61.75,91.03875732421875,49.07175827026367
2006-08-25,61.77000045776367,91.15110778808594,49.14482879638672
2006-08-28,61.0,91.58647155761719,49.189788818359375
2006-08-29,60.939998626708984,91.69182586669922,49.257232666015625
2006-08-30,61.41999816894531,91.74798583984375,49.386478424072266
2006-08-31,62.290000915527344,91.73394775390625,49.50454330444336
2006-09-01,62.13999938964844,92.28163146972656,49.52147674560547
2006-09-05,63.36000061035156,92.4571762084961,49.211090087890625
2006-09-06,62.86000061035156,91.64263916015625,49.14341354370117
2006-09-07,61.25,91.22132110595703,49.23935317993164
2006-09-08,60.63999938964844,91.48112487792969,49.2788200378418
2006-09-11,58.5,91.57244110107422,49.233665466308594
2006-09-12,58.31999969482422,92.4712142944336,49.48196029663086
2006-09-13,58.619998931884766,92.8434066772461,49.504554748535156
2006-09-14,57.189998626708984,92.85042572021484,49.39170455932617
2006-09-15,57.400001525878906,93.06835174560547,49.352176666259766
2006-09-18,58.22999954223633,93.1952896118164,49.27317428588867
2006-09-19,56.91999816894531,92.96257019042969,49.826133728027344
2006-09-20,57.2599983215332,93.45624542236328,49.89952087402344
2006-09-21,57.95000076293945,93.0048828125,50.35660934448242
2006-09-22,58.5,92.72272491455078,50.60490798950195
2006-09-25,58.5,93.4350814819336,50.960411071777344
2006-09-26,58.7400016784668,94.21089172363281,50.745967864990234
2006-09-27,59.810001373291016,94.32371520996094,50.5992317199707
2006-09-28,59.790000915527344,94.28846740722656,50.51458740234375
2006-09-29,59.470001220703125,94.21089172363281,50.45254135131836
2006-10-02,59.150001525878906,93.85823822021484,50.590755462646484
2006-10-03,57.11000061035156,94.05574798583984,50.52275848388672
2006-10-04,56.369998931884766,95.1559829711914,50.89101791381836
2006-10-05,56.91999816894531,95.33929443359375,50.534122467041016
2006-10-06,56.9900016784668,95.21942901611328,50.00725173950195
2006-10-09,57.20000076293945,95.27584838867188,50.14320755004883
2006-10-10,57.0,95.40280151367188,49.74667739868164
2006-10-11,56.880001068115234,95.28997802734375,49.5993537902832
2006-10-12,57.4900016784668,96.11515045166016,49.62767028808594
2006-10-13,58.56999969482422,96.36201477050781,49.37837219238281
2006-10-16,59.16999816894531,96.5101089477539,49.5993537902832
2006-10-17,58.650001525878906,96.20684051513672,49.63896942138672
2006-10-18,58.59000015258789,96.33380126953125,49.74097442626953
2006-10-19,59.40999984741211,96.48896026611328,49.65034484863281
2006-10-20,58.779998779296875,96.5101089477539,49.5993537902832
2006-10-23,57.7599983215332,96.95442962646484,49.40105438232422
2006-10-24,58.16999816894531,97.24356079101562,49.40105438232422
2006-10-25,58.7599983215332,97.57508850097656,49.79195022583008
2006-10-26,59.290000915527344,97.87832641601562,50.11493682861328
2006-10-27,59.400001525878906,97.26473236083984,50.347137451171875
2006-10-30,59.900001525878906,97.1942367553711,50.48878860473633
2006-10-31,60.2400016784668,97.18011474609375,50.879669189453125
2006-11-01,61.36000061035156,96.52420806884766,51.16120529174805
2006-11-02,61.91999816894531,96.4677734375,50.95078659057617
2006-11-03,62.29999923706055,96.29853057861328,50.347957611083984
2006-11-06,61.88999938964844,97.3846435546875,50.495826721191406
2006-11-07,62.040000915527344,97.75841522216797,50.728981018066406
2006-11-08,61.11000061035156,97.97006225585938,50.91095733642578
2006-11-09,62.95000076293945,97.45516204833984,50.882537841796875
2006-11-10,62.4900016784668,97.49751281738281,51.104278564453125
2006-11-13,62.189998626708984,97.73728942871094,51.09294891357422
2006-11-14,61.630001068115234,98.47073364257812,51.29195022583008
2006-11-15,61.84000015258789,98.75288391113281,51.098655700683594
2006-11-16,61.310001373291016,99.00675964355469,50.86546325683594
2006-11-17,61.779998779296875,99.03498077392578,51.15550231933594
2006-11-20,61.77000045776367,99.09141540527344,51.23512649536133
2006-11-21,62.27000045776367,99.19011688232422,51.36023712158203
2006-11-22,62.5,99.38762664794922,51.445579528808594
2006-11-24,63.5,98.9856185913086,51.53657531738281
2006-11-27,63.70000076293945,97.62442016601562,51.7242317199707
2006-11-28,63.56999969482422,98.04759216308594,51.83229064941406
2006-11-29,63.15999984741211,99.07027435302734,51.71286392211914
2006-11-30,64.38999938964844,99.11257934570312,52.05409240722656
2006-12-01,64.12000274658203,98.89392852783203,52.18651580810547
2006-12-04,64.12000274658203,99.64862060546875,52.27784729003906
2006-12-05,63.810001373291016,100.07878875732422,52.032386779785156
2006-12-06,62.689998626708984,99.99415588378906,51.929630279541016
